DonorUniqueId,DonorPostalCode,DonorAge,MaritalStatus,GenderIdentity,IsMemberFlag,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,AcademicDegreeLevel,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.,Region
29,14845,42,,Male,N,N,N,N,,,HOME,N,1,0,0,10,0,0,0,100,Y,New York (Upstate)
30,56115,62,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,250,Y,Minnesota
31,78635,63,,Male,N,N,N,N,,,,N,0,0,0,0,0,0,0,00,N,Texas (northern)
32,90265,42,,Male,N,N,N,N,,,HOME,N,1,51,0,0,0,0,0,510,Y,California
33,23235,48,,,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Virginia
34,81648,32,,Male,N,N,N,N,,,HOME,N,0,0,0,0,25,0,0,1150,Y,Colorado
35,33433,38,,Male,N,N,N,N,3.0,,HOME,Y,0,0,0,0,15,0,0,150,Y,Florida
36,89183,42,Married,Uknown,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Nevada
37,90265,31,,Female,N,Y,N,Y,,GP,HOME,Y,2,0,0,255,135,0,0,3900,Y,California
38,73558,42,Single,Female,N,N,N,Y,,,HOME,N,0,0,0,0,0,0,0,00,N,Oklahoma
39,68768,42,,,N,N,N,N,,,HOME,Y,1,0,0,0,0,0,0,5200,Y,Nebraska
40,99686,38,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,650,Y,Alaska
41,53075,31,,Female,N,Y,N,Y,,GM,HOME,Y,0,0,0,0,0,0,0,00,N,Wisconsin
42,27815,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,80,Y,North Carolina
43,1546,42,Married,Male,N,N,N,N,,,HOME,N,15,0,0,0,0,0,0,114010,Y,Pennsylvania
44,643,42,Single,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Missouri
45,13425,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,New York (Upstate)
46,69154,27,,Male,N,Y,N,Y,,GM,HOME,Y,1,0,0,0,0,0,0,00,N,Nebraska
47,<NA>,42,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,2000,Y,Unknown
48,39505,39,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Mississippi
49,<NA>,42,Married,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,20,0,10000,Y,Unknown
50,<NA>,52,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Unknown
51,90265,42,,Female,N,Y,N,N,,,HOME,Y,0,0,0,0,0,0,0,00,N,California
52,15027,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Pennsylvania
53,<NA>,42,Married,Female,N,N,Y,N,,,HOME,N,1,0,0,0,0,0,0,2500,Y,Unknown
54,25508,39,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,1200,Y,West Virginia
55,68782,34,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Nebraska
56,22657,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Virginia
57,63944,21,,Male,N,N,N,N,3.0,,HOME,Y,0,0,0,0,0,0,0,2900,Y,Missouri
58,959,36,,Female,N,N,N,N,,,HOME,N,0,0,0,0,73,0,0,730,Y,California
59,74471,42,Single,Uknown,N,N,N,Y,,,HOME,Y,0,0,0,0,0,0,15,150,Y,Oklahoma
60,80109,42,,Uknown,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Colorado
61,76306,42,,Male,N,Y,N,N,,UB,HOME,N,1,0,0,0,0,0,0,77550,Y,Texas (northern)
62,41061,30,,Male,N,Y,N,Y,,UB,HOME,Y,1,0,25,0,0,0,1,400,Y,Kentucky
63,75255,42,Married,Male,N,N,N,N,,,HOME,N,3,0,40,0,0,0,0,4050,Y,Texas (northern)
64,71028,42,,Female,N,N,N,N,,,HOME,N,2,0,0,0,0,0,0,500,Y,Louisiana
65,19140,54,Married,Female,N,Y,N,N,,UB,HOME,N,1,0,0,0,0,0,0,00,N,Pennsylvania
66,49962,42,Married,Male,N,N,Y,N,,,HOME,Y,0,0,0,0,0,0,0,00,N,Michigan
67,3281,42,Single,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Florida
68,37725,29,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,40,500,Y,Tennessee
69,96143,75,,Female,N,N,N,N,,,HOME,N,0,0,0,0,25,0,0,250,Y,California
70,62901,42,Married,Male,N,N,N,Y,,,HOME,N,3,0,0,0,0,0,0,500,Y,Illinois
71,53227,42,Married,Male,N,N,N,Y,,,HOME,N,1,0,0,0,0,0,0,00,N,Wisconsin
72,47708,83,Married,Male,N,Y,N,Y,,UB,HOME,Y,30,0,0,0,70,100,0,1258050,Y,Indiana
73,50249,21,,Female,N,N,N,N,,,HOME,N,0,0,0,0,100,0,0,1000,Y,Iowa
74,48441,37,,Female,N,N,N,N,,,CAMP,Y,0,0,0,0,0,0,0,00,N,Michigan
75,74766,42,Single,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,16050,Y,Oklahoma
76,65590,26,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Missouri
77,<NA>,33,,Female,N,Y,Y,N,,,HOME,Y,10,0,0,0,500,0,0,15000,Y,Unknown
78,94096,42,,Female,N,Y,N,N,,GM,,Y,0,0,0,0,0,200,0,2000,Y,California
79,13744,25,,Female,N,N,N,N,,,CAMP,Y,0,0,100,120,0,0,0,2200,Y,New York (Upstate)
80,36861,42,Single,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Alabama
81,<NA>,42,,Female,N,Y,N,N,,UB,,N,0,0,0,0,0,0,0,00,N,Unknown
82,55085,42,Married,Female,N,N,N,N,,,,N,1,0,0,0,0,0,0,00,N,Minnesota
83,57271,81,,Female,N,N,N,Y,3.0,,HOME,N,3,0,0,0,0,25,0,2200,Y,South Dakota
84,90265,21,,Female,N,N,N,N,,,HOME,Y,0,0,10,0,0,0,0,100,Y,California
85,14871,42,Separated,Female,N,N,Y,N,,,HOME,Y,1,0,0,0,0,0,0,30100,Y,New York (Upstate)
86,89779,32,,Male,N,Y,N,N,,,HOME,N,0,20,0,0,0,0,0,200,Y,Nevada
87,31058,23,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Georgia
88,78115,42,Married,Male,N,N,Y,N,,,,N,0,0,0,0,0,0,0,5260,Y,Texas (northern)
89,90265,55,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,10,Y,California
90,1515,42,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,250,Y,Pennsylvania
91,68104,42,,Female,N,N,N,N,,,HOME,Y,1,0,0,0,0,0,0,00,N,Nebraska
92,55165,40,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Minnesota
93,58075,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,North Dakota
94,90265,33,,Male,N,Y,N,Y,,GM,HOME,Y,1,0,0,0,0,0,0,250,Y,California
95,59035,42,,Female,N,N,N,N,4.0,,HOME,N,11,0,0,1,0,0,0,5800,Y,Montana
96,90265,42,Single,Female,N,N,N,N,,,,N,0,0,0,0,0,0,1,150,Y,California
97,88102,32,,Female,N,Y,N,Y,,GM,HOME,Y,0,0,0,0,0,0,0,00,N,New Mexico
98,90265,42,,Female,N,N,N,N,,,HOME,Y,3,120,0,0,100,50,0,2700,Y,California
99,8067,44,,Male,N,Y,N,Y,,UB,HOME,Y,0,0,0,0,0,0,0,50,Y,Colorado
100,63962,33,,Male,N,N,N,N,2.0,,HOME,Y,0,0,0,0,0,0,0,00,N,Missouri
101,<NA>,42,,Uknown,N,Y,N,N,,UB,HOME,N,3,0,0,0,0,0,50,500,Y,Unknown
102,90265,42,,Female,N,N,N,Y,,,HOME,N,3,0,0,0,0,100,0,1000,Y,California
103,27376,42,,Female,N,N,N,N,2.0,,HOME,N,1,0,0,0,0,0,0,10,Y,North Carolina
104,76539,42,Married,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,650,Y,Texas (northern)
105,27306,42,,Male,N,N,N,N,,,HOME,N,1,0,0,200,0,0,0,2000,Y,North Carolina
106,10124,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,120,0,0,1200,Y,New York (NYC area)
107,48027,42,,Female,N,N,N,N,,,HOME,N,10,0,0,0,0,230,0,11750,Y,Michigan
108,15207,42,,Male,N,Y,N,Y,,GM,HOME,Y,0,0,1,0,0,0,0,1900,Y,Pennsylvania
109,53788,79,Married,Female,N,N,N,N,,,HOME,N,1,25,0,0,0,0,0,250,Y,Wisconsin
110,78220,42,,,N,N,N,N,2.0,,HOME,N,1,0,0,0,0,0,0,00,N,Texas (northern)
111,72842,42,Married,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Arkansas
112,45889,35,Married,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,14640,Y,Ohio
113,46072,42,,Female,N,N,N,Y,,,HOME,N,2,0,0,0,0,0,0,250,Y,Indiana
114,27007,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,North Carolina
115,10703,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,1,10,Y,New York (NYC area)
116,<NA>,30,,Male,N,Y,N,Y,,UB,HOME,Y,0,10,0,0,0,0,0,100,Y,Unknown
117,44320,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Ohio
118,45381,42,Single,Uknown,N,N,N,Y,,,,N,0,0,0,0,0,0,0,50,Y,Ohio
119,<NA>,42,Married,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,20,Y,Unknown
120,37708,26,,Male,N,Y,N,Y,,UB,HOME,Y,5,0,0,200,0,0,0,2000,Y,Tennessee
121,90265,46,,Male,N,Y,N,N,,GM,HOME,N,0,500,0,250,0,0,0,7500,Y,California
122,<NA>,42,,Male,N,Y,N,Y,,GM,HOME,Y,0,0,0,0,0,0,0,00,N,Unknown
123,95689,42,,Female,N,N,N,N,5.0,,HOME,N,0,0,0,0,0,0,0,250,Y,California
124,9001,42,,Male,N,Y,N,Y,,UB,HOME,N,1,0,0,0,0,0,0,250,Y,California
125,86335,42,Married,Male,N,N,N,N,,,HOME,N,2,0,0,0,0,0,0,00,N,Arizona
126,39666,52,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,1100,Y,Mississippi
127,87730,42,,Male,N,Y,N,N,,GD,HOME,N,4,0,0,0,0,0,0,700,Y,New Mexico
128,90265,42,,Male,N,Y,N,N,,UB,HOME,N,0,0,0,0,0,0,0,00,N,California
129,32227,42,Married,Female,N,N,Y,N,,,HOME,Y,2,0,0,0,0,0,0,500,Y,Florida
130,91361,42,,Male,N,N,N,Y,,,HOME,N,1,0,0,25,0,0,0,250,Y,California
131,44441,37,,Female,N,N,N,N,,,,N,0,0,0,0,0,0,0,00,N,Ohio
132,<NA>,42,Married,Female,N,N,Y,N,,,HOME,Y,0,0,0,0,0,0,0,250,Y,Unknown
133,58448,62,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,300,Y,North Dakota
134,765,29,,Female,N,Y,N,Y,,GM,HOME,Y,0,0,0,0,0,0,0,00,N,Texas (northern)
135,77075,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,1200,Y,Texas (northern)
136,39747,42,,Male,N,N,N,N,,,BUSN,N,1,0,0,0,0,0,0,00,N,Mississippi
137,36922,34,,Male,N,Y,N,Y,,UB,HOME,Y,0,0,0,0,0,0,0,3350,Y,Alabama
138,31623,42,,Female,N,N,N,N,3.0,,HOME,N,2,0,0,25,0,0,0,250,Y,Georgia
139,42050,39,,Female,N,Y,N,Y,,UB,HOME,Y,1,0,0,0,250,0,0,2500,Y,Kentucky
140,30641,42,,Female,N,N,N,N,,,HOME,N,1,0,0,10,0,0,0,27600,Y,Georgia
141,20417,42,Single,Male,N,N,N,N,,,,N,0,0,0,0,0,0,0,00,N,Unknown
142,23822,34,,Female,N,N,N,N,,,HOME,N,0,5,0,0,0,0,0,5050,Y,Virginia
143,88514,32,,Male,N,Y,N,Y,,GM,HOME,Y,1,0,0,10,70,0,0,800,Y,Unknown
144,45324,42,Single,Male,N,N,N,Y,,,HOME,N,1,0,250,0,0,0,1,2510,Y,Ohio
145,90265,38,,Female,N,N,N,N,,,,N,0,0,0,0,0,0,0,00,N,California
146,31742,66,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,1050,Y,Georgia
147,32534,29,,Male,N,Y,N,Y,,UB,HOME,Y,0,0,0,0,0,0,0,30,Y,Florida
148,61242,42,Single,Female,N,N,N,N,,,,N,0,0,0,0,0,0,0,100,Y,Illinois
149,56546,52,,Female,N,N,Y,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Minnesota
150,57702,42,,,N,N,N,N,,,HOME,Y,0,0,0,0,0,0,0,600,Y,South Dakota
151,70560,42,,Male,N,N,N,Y,,,HOME,N,2,0,0,0,50,0,0,500,Y,Louisiana
152,90265,42,,Male,N,N,N,N,,,HOME,N,1,0,0,120,0,0,0,1200,Y,California
153,90265,42,,Female,N,Y,N,Y,,GM,HOME,Y,0,0,0,0,0,0,0,00,N,California
154,14845,43,,Female,N,Y,N,N,,GM,,N,0,0,0,0,0,0,0,12000,Y,New York (Upstate)
155,90265,46,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,150,Y,California
156,44841,42,Married,Male,N,Y,Y,Y,3.0,GM,HOME,Y,0,0,0,0,0,0,0,700,Y,Ohio
157,75957,42,Married,Male,N,N,Y,N,,,HOME,Y,0,0,0,0,0,0,0,24400,Y,Texas (northern)
158,54840,80,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Wisconsin
159,<NA>,42,Single,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,4500,Y,Unknown
160,27144,42,Single,Female,N,N,N,N,1.0,,HOME,N,0,0,0,0,0,0,0,00,N,North Carolina
161,87061,42,,Male,N,N,N,N,,,HOME,Y,0,0,0,0,0,0,0,00,N,New Mexico
162,39193,42,,Female,N,N,N,Y,,,HOME,N,1,0,0,0,0,0,0,00,N,Mississippi
163,12430,57,,Female,N,Y,N,Y,,GD,BUSN,Y,0,0,0,0,0,0,0,1200,Y,New York (Upstate)
164,57702,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,1050,Y,South Dakota
165,30248,37,,Female,N,Y,N,Y,,UB,HOME,N,2,0,0,0,0,0,0,1200,Y,Georgia
166,36206,70,,Male,N,N,N,N,,,HOME,N,0,0,0,0,110,0,0,1100,Y,Alabama
167,49115,42,,Female,N,N,N,Y,,,HOME,Y,1,0,0,0,0,0,0,00,N,Michigan
168,23235,42,Single,Male,N,N,N,N,,,HOME,N,1,0,25,0,0,0,0,1000,Y,Virginia
169,73119,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,2500,Y,Oklahoma
170,50023,42,,Male,N,N,N,N,,,HOME,N,7,0,0,0,0,0,0,00,N,Iowa
171,73071,94,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,95,950,Y,Oklahoma
172,59047,12,,Male,N,N,N,N,5.0,,HOME,N,0,0,0,0,0,0,5,50,Y,Montana
173,<NA>,42,,Female,N,N,N,N,,,CAMP,Y,0,0,0,0,0,0,0,1050,Y,Unknown
174,97883,42,Single,Male,N,N,N,N,,,,Y,0,0,0,0,0,0,0,100,Y,Oregon
175,64755,38,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,500,5000,Y,Missouri
176,80454,42,,Female,N,N,N,N,,,BUSN,N,1,0,0,0,0,0,0,120,Y,Colorado
177,58201,33,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,North Dakota
178,30019,42,Married,Female,N,N,Y,N,,,,N,0,0,0,0,0,0,0,1500,Y,Georgia
179,97846,42,,Male,N,N,N,N,,,,Y,1,0,0,0,0,0,0,1360,Y,Oregon
180,84531,37,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Utah
181,83716,89,,Female,N,N,N,N,,,HOME,Y,0,0,0,0,0,0,1,3000,Y,Idaho
182,54976,42,,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Wisconsin
183,10581,42,Widowed,Female,N,N,N,N,,,HOME,N,12,0,0,0,0,0,0,20500,Y,New York (NYC area)
184,25936,42,,Male,N,N,N,N,,,,N,1,0,0,0,0,0,0,2000,Y,West Virginia
185,60546,42,,Male,N,Y,N,Y,,GM,HOME,Y,0,0,100,100,0,0,70,2700,Y,Illinois
186,83101,42,Single,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Wyoming
187,6359,32,,Female,N,Y,N,Y,,GM,HOME,Y,0,0,200,120,0,0,0,179710,Y,Missouri
188,92173,42,,Male,N,N,N,Y,,,HOME,N,6,120,0,0,0,0,0,4040,Y,California
189,33898,26,,Female,N,N,N,N,,,HOME,Y,0,0,0,0,0,0,0,350,Y,Florida
190,13425,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,500,Y,New York (Upstate)
191,28509,42,,Female,N,N,Y,N,,,HOME,Y,0,0,0,0,0,0,0,1200,Y,North Carolina
192,90265,42,,Female,N,Y,N,N,,,HOME,Y,0,0,0,0,0,0,0,11950,Y,California
193,714,60,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,650,Y,Louisiana
194,10538,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,1000,Y,New York (NYC area)
195,28098,42,Married,Male,N,N,Y,Y,,,HOME,Y,0,0,0,0,0,0,0,500,Y,North Carolina
196,43556,42,Single,Male,N,N,N,N,,,,N,0,0,0,500,0,0,0,20000,Y,Ohio
197,64077,42,,Male,N,N,N,N,,,,N,3,0,0,0,0,0,0,350,Y,Missouri
198,50308,42,Single,Male,N,N,N,N,,,,N,0,0,0,0,0,0,0,00,N,Iowa
199,97376,32,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Oregon
200,43752,42,Single,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,150,1500,Y,Ohio
201,19348,30,,Male,N,Y,N,N,,GM,HOME,N,0,0,0,0,0,0,0,53000,Y,Pennsylvania
202,74471,31,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,20,Y,Oklahoma
203,<NA>,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Unknown
204,90265,87,,Female,N,N,N,Y,,,HOME,N,0,0,0,0,0,0,0,00,N,California
205,90265,42,,Female,N,N,N,N,,,HOME,N,8,0,0,0,0,300,0,5540,Y,California
206,52803,42,Single,Uknown,N,N,N,Y,,,HOME,N,0,0,0,0,0,0,0,4500,Y,Iowa
207,90265,42,Married,Male,N,N,Y,N,,,,N,0,0,0,0,0,0,0,00,N,California
208,7762,39,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Texas (northern)
209,29322,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,100,0,0,0,1750,Y,South Carolina
210,90265,42,,Male,N,N,N,Y,,,HOME,N,0,0,0,0,0,0,0,00,N,California
211,66946,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,650,Y,Kansas
212,92866,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,150,Y,California
213,<NA>,42,,Male,N,N,N,Y,,,HOME,N,8,0,0,0,0,130,0,31000,Y,Unknown
214,97841,65,,Male,N,N,N,Y,,,HOME,N,5,0,5,0,63,0,0,680,Y,Oregon
215,56458,31,,Female,N,Y,N,Y,,GM,HOME,Y,0,0,0,0,0,0,0,1200,Y,Minnesota
216,<NA>,42,,Female,N,N,N,Y,,,HOME,N,1,0,0,0,0,36,0,1000,Y,Unknown
217,29153,40,,Male,N,Y,N,Y,,UB,HOME,Y,1,0,0,0,0,0,0,00,N,South Carolina
218,2894,42,,Male,N,N,N,N,,,HOME,Y,1,0,0,0,0,0,0,10,Y,North Carolina
219,33433,52,,Male,N,Y,N,N,,UB,HOME,N,5,0,0,0,0,25,0,250,Y,Florida
220,<NA>,42,Married,Male,N,N,Y,N,,,HOME,N,0,0,0,0,0,0,0,15550,Y,Unknown
221,87022,29,,Female,N,Y,N,Y,,UB,HOME,Y,1,0,0,0,0,0,0,00,N,New Mexico
222,58733,50,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,North Dakota
223,80454,42,Married,Male,N,N,Y,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Colorado
224,81131,42,,Male,N,Y,N,N,,GP,HOME,Y,5,1,0,0,0,150,0,1510,Y,Colorado
225,51647,51,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Iowa
226,13796,42,Married,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,400,Y,New York (Upstate)
227,<NA>,42,Married,Female,N,N,Y,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Unknown
228,90265,54,Married,Male,N,Y,N,Y,,UB,HOME,Y,1,0,0,0,0,0,0,00,N,California
229,53810,20,,Female,N,N,N,Y,,,HOME,Y,20,0,52,0,0,0,0,5650,Y,Wisconsin
230,90265,42,Married,Female,N,N,Y,N,,,HOME,Y,0,0,0,0,0,0,0,00,N,California
231,8252,61,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Wyoming
232,80642,46,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,55000,Y,Colorado
233,90265,42,,Male,N,N,N,N,,,HOME,N,8,0,0,0,0,0,0,2950,Y,California
234,76508,43,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,3100,Y,Texas (northern)
235,90265,3,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,California
236,90265,42,Single,Male,N,N,N,Y,,,,Y,0,0,0,0,100,0,0,1000,Y,California
237,74860,42,,Male,N,N,N,N,,,HOME,N,7,0,0,0,0,50,0,500,Y,Oklahoma
238,27233,42,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,North Carolina
239,96157,42,,Male,N,Y,N,N,,GM,,N,0,0,0,0,0,0,0,6640,Y,California
240,90265,50,,Female,N,N,N,N,,,,N,0,0,0,0,0,0,0,00,N,California
241,85392,89,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,7500,Y,Arizona
242,90265,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,California
243,22639,42,Married,Male,N,N,N,Y,,,HOME,N,1,0,0,0,0,0,0,00,N,Virginia
244,75957,66,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,20,Y,Texas (northern)
245,74637,42,Married,Male,N,N,N,N,,,HOME,N,9,480,0,0,0,0,100,20250,Y,Oklahoma
246,90265,21,,Female,N,N,N,N,5.0,,HOME,Y,0,0,0,0,0,0,0,150,Y,California
247,19374,42,Married,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Pennsylvania
248,<NA>,42,Married,Male,N,N,N,N,,,,N,1,0,1,0,0,0,0,100,Y,Unknown
249,83525,32,,Male,N,N,N,Y,,,HOME,Y,0,0,0,0,0,0,0,00,N,Idaho
250,99638,42,Married,,N,N,Y,Y,,,HOME,Y,0,0,0,0,0,0,0,00,N,Alaska
251,55395,49,,Male,N,Y,N,N,5.0,GM,HOME,Y,0,0,0,0,0,0,0,00,N,Minnesota
252,90265,42,Married,Female,N,N,N,N,,,HOME,Y,1,0,0,0,0,0,0,400,Y,California
253,32754,78,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,1250,Y,Florida
254,<NA>,34,,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,6000,Y,Unknown
